// x,y,z,frame
0,10,100,60
10,10,100,60
-10,30,100,120
0,30,100,120
0,50,100,180
// comment,,,
0,10,100,300
0,30,100,420
0,20,100,480
10,20,100,480
-10,20,100,480
0,40,100,600
0,10,100,720
0,60,100,780
// comment,,,
0,10,100,900
0,100,100,1020
0,10,100,1080
// comment,,,
0,20,100,1200
10,20,100,1200
-10,20,100,1200
0,80,100,1320
0,60,100,1380
0,40,100,1500
0,30,100,720
0,50,100,780
// comment,,,
0,40,100,900
0,30,100,1020
0,50,100,1080
// comment,,,
0,60,100,1200
0,20,100,1320
0,70,100,1380
0,60,100,1500
0,50,100,1620
0,30,100,1680
0,30,100,1800
